source_event_id,customer_id,bureau_name,score,score_band,score_as_of,delinquencies_12m,open_facilities,total_exposure,enquiries_3m,payload
EV-BUR-C00001,C00001,Metropol,562,C,2026-04-25,0,1,1410946.38,2,{}
EV-BUR-C00002,C00002,Metropol,733,A,2026-04-20,2,4,613351.38,1,{}
EV-BUR-C00003,C00003,TransUnion,787,A,2026-04-21,2,6,1290944.45,1,{}
EV-BUR-C00004,C00004,CreditInfo,714,B,2026-04-20,2,4,2386980.81,3,{}
EV-BUR-C00005,C00005,TransUnion,754,A,2026-04-20,1,3,830207.18,3,{}
EV-BUR-C00006,C00006,CreditInfo,578,C,2026-04-26,0,6,2890114.46,0,{}
EV-BUR-C00007,C00007,TransUnion,632,B,2026-04-24,2,7,1504928.33,0,{}
EV-BUR-C00008,C00008,TransUnion,778,A,2026-04-26,0,6,2214039.21,0,{}
EV-BUR-C00009,C00009,Metropol,827,A,2026-04-22,0,2,793266.30,4,{}
EV-BUR-C00010,C00010,TransUnion,824,A,2026-04-26,2,7,1969110.63,1,{}
EV-BUR-C00011,C00011,CreditInfo,839,A,2026-04-25,2,2,3932472.74,0,{}
EV-BUR-C00012,C00012,CreditInfo,567,C,2026-04-22,0,5,1001487.36,4,{}
EV-BUR-C00013,C00013,CreditInfo,649,B,2026-04-26,2,2,1830744.73,3,{}
EV-BUR-C00014,C00014,Metropol,709,B,2026-04-21,0,3,3645893.42,2,{}
EV-BUR-C00015,C00015,CreditInfo,591,C,2026-04-21,1,2,2722386.33,0,{}
EV-BUR-C00016,C00016,TransUnion,823,A,2026-04-26,0,4,3439295.19,2,{}
EV-BUR-C00017,C00017,Metropol,599,C,2026-04-26,2,1,673588.80,3,{}
EV-BUR-C00018,C00018,TransUnion,640,B,2026-04-22,1,1,301864.61,4,{}
EV-BUR-C00019,C00019,CreditInfo,730,A,2026-04-22,0,5,2412779.19,2,{}
EV-BUR-C00020,C00020,CreditInfo,761,A,2026-04-22,2,3,537987.06,1,{}
EV-BUR-C00021,C00021,TransUnion,694,B,2026-04-22,0,5,3022232.85,4,{}
EV-BUR-C00022,C00022,Metropol,623,B,2026-04-21,0,5,1801481.23,4,{}
EV-BUR-C00023,C00023,Metropol,613,B,2026-04-25,1,5,1968940.41,4,{}
EV-BUR-C00024,C00024,CreditInfo,764,A,2026-04-20,1,6,2343139.54,1,{}
EV-BUR-C00025,C00025,Metropol,676,B,2026-04-22,2,7,2985057.95,1,{}
EV-BUR-C00026,C00026,Metropol,663,B,2026-04-21,1,3,3404272.51,4,{}
EV-BUR-C00027,C00027,Metropol,282,E,2026-04-23,6,4,1480872.40,3,{}
EV-BUR-C00028,C00028,Metropol,773,A,2026-04-23,1,6,699362.79,1,{}
EV-BUR-C00029,C00029,TransUnion,784,A,2026-04-24,1,3,1218720.19,2,{}
EV-BUR-C00030,C00030,CreditInfo,362,E,2026-04-24,6,5,1732903.46,1,{}
EV-BUR-C00031,C00031,TransUnion,655,B,2026-04-25,2,1,2142718.51,3,{}
EV-BUR-C00032,C00032,CreditInfo,621,B,2026-04-24,1,1,3620401.52,2,{}
EV-BUR-C00033,C00033,CreditInfo,709,B,2026-04-25,1,1,1988886.11,3,{}
EV-BUR-C00034,C00034,TransUnion,712,B,2026-04-24,2,5,3489665.44,3,{}
EV-BUR-C00035,C00035,CreditInfo,727,A,2026-04-24,0,2,1844146.68,4,{}
EV-BUR-C00036,C00036,CreditInfo,843,A,2026-04-26,0,4,511923.16,3,{}
EV-BUR-C00037,C00037,TransUnion,804,A,2026-04-25,0,4,2659988.62,2,{}
