source_event_id,loan_id,customer_id,product_code,currency,principal_amount,outstanding_amount,interest_rate,tenor_months,disbursed_at,maturity_date,npa_status,days_past_due,last_repayment_at,collateral_value,branch_code,payload
EV-LOAN-L000001,L000001,C00127,AUTO_RET,KES,1386848.55,160643.15,0.1368,50,2026-03-28T00:00:00+00:00,2030-05-06,PERFORMING,0,2026-04-14T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000002,L000002,C02842,AUTO_RET,KES,1212996.75,613741.00,0.1665,41,2026-01-02T00:00:00+00:00,2029-05-16,PERFORMING,0,2026-04-11T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000003,L000003,C05912,PL_RET,KES,142936.63,10814.15,0.2324,30,2023-01-11T00:00:00+00:00,2025-06-29,PERFORMING,0,2026-04-25T00:00:00+00:00,,NKR-040,{}
EV-LOAN-L000004,L000004,C09237,AUTO_RET,KES,1671367.71,593400.48,0.1527,26,2024-01-21T00:00:00+00:00,2026-03-11,PERFORMING,9,2026-04-26T00:00:00+00:00,,NKR-040,{}
EV-LOAN-L000005,L000005,C08098,PL_RET,KES,143999.48,87859.21,0.1869,32,2026-07-09T00:00:00+00:00,2029-02-23,WATCH,54,2026-04-04T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000006,L000006,C09738,PL_RET,KES,62368.49,26314.35,0.2359,35,2026-09-09T00:00:00+00:00,2029-07-25,PERFORMING,0,2026-04-08T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000007,L000007,C01897,AUTO_RET,KES,687105.59,333998.57,0.1610,49,2024-11-15T00:00:00+00:00,2028-11-24,PERFORMING,0,2026-04-20T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000008,L000008,C02629,AUTO_RET,KES,1249479.70,217303.50,0.1742,26,2025-06-11T00:00:00+00:00,2027-07-31,PERFORMING,13,2026-04-22T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000009,L000009,C00416,CORP_TL,KES,24233976.50,8086739.23,0.1504,78,2026-08-02T00:00:00+00:00,2032-12-28,PERFORMING,0,2026-04-09T00:00:00+00:00,24518574.05,NBO-002,{}
EV-LOAN-L000010,L000010,C02581,CORP_TL,KES,17548016.68,12806001.81,0.1542,48,2025-12-10T00:00:00+00:00,2029-11-19,WATCH,34,2026-04-13T00:00:00+00:00,13438782.49,MSA-010,{}
EV-LOAN-L000011,L000011,C09508,AUTO_RET,KES,2186882.50,549171.31,0.1327,37,2026-04-04T00:00:00+00:00,2029-04-18,PERFORMING,0,2026-04-21T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000012,L000012,C05301,PL_RET,KES,388435.41,229892.78,0.2072,15,2024-10-21T00:00:00+00:00,2026-01-14,PERFORMING,0,2026-04-06T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000013,L000013,C07909,CORP_TL,KES,7579457.01,766493.41,0.1342,83,2025-06-22T00:00:00+00:00,2032-04-16,PERFORMING,0,2026-04-18T00:00:00+00:00,8209179.16,ELD-030,{}
EV-LOAN-L000014,L000014,C02926,AUTO_RET,KES,1377084.83,994656.15,0.1510,38,2023-10-15T00:00:00+00:00,2026-11-28,WATCH,38,2026-04-04T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000015,L000015,C02923,AUTO_RET,KES,1616741.08,149604.63,0.1380,52,2023-01-18T00:00:00+00:00,2027-04-27,PERFORMING,0,2026-04-18T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000016,L000016,C00194,AUTO_RET,KES,1543202.96,1022613.53,0.1592,46,2024-06-25T00:00:00+00:00,2028-04-05,PERFORMING,0,2026-04-17T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000017,L000017,C03705,AUTO_RET,KES,931652.86,786528.19,0.1496,59,2026-04-23T00:00:00+00:00,2031-02-26,WATCH,58,2026-04-06T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000018,L000018,C04352,AUTO_RET,KES,2376532.06,123540.61,0.1518,56,2026-06-09T00:00:00+00:00,2031-01-14,PERFORMING,0,2026-04-12T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000019,L000019,C08972,AUTO_RET,KES,1988805.20,1171332.82,0.1440,29,2023-07-04T00:00:00+00:00,2025-11-20,WATCH,32,2026-04-16T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000020,L000020,C01913,PL_RET,KES,89246.78,61807.05,0.2308,36,2025-04-18T00:00:00+00:00,2028-04-02,PERFORMING,0,2026-04-18T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000021,L000021,C06342,PL_RET,KES,97033.98,36199.83,0.1930,19,2025-12-27T00:00:00+00:00,2027-07-20,PERFORMING,0,2026-04-08T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000022,L000022,C03593,CORP_TL,KES,5580353.18,2039235.44,0.1576,49,2024-09-02T00:00:00+00:00,2028-09-11,PERFORMING,0,2026-04-24T00:00:00+00:00,3397641.52,ELD-030,{}
EV-LOAN-L000023,L000023,C02130,AUTO_RET,KES,360376.84,102951.91,0.1712,54,2026-10-25T00:00:00+00:00,2031-04-02,PERFORMING,0,2026-04-04T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000024,L000024,C05509,PL_RET,KES,431798.37,101388.57,0.1861,29,2026-05-25T00:00:00+00:00,2028-10-11,PERFORMING,0,2026-04-16T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000025,L000025,C05403,AUTO_RET,KES,1280324.19,654001.61,0.1500,41,2025-03-28T00:00:00+00:00,2028-08-09,PERFORMING,3,2026-04-25T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000026,L000026,C09059,AUTO_RET,KES,2297980.28,1607948.81,0.1590,31,2026-07-04T00:00:00+00:00,2029-01-19,PERFORMING,0,2026-04-22T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000027,L000027,C02967,INV_SME,KES,5848519.97,3888918.26,0.1614,26,2026-09-02T00:00:00+00:00,2028-10-21,WATCH,38,2026-04-16T00:00:00+00:00,6761602.98,NBO-001,{}
EV-LOAN-L000028,L000028,C01711,PL_RET,KES,104376.71,44180.77,0.2379,32,2023-08-11T00:00:00+00:00,2026-03-28,PERFORMING,0,2026-04-26T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000029,L000029,C02953,AUTO_RET,KES,1091670.93,698717.39,0.1568,45,2025-08-13T00:00:00+00:00,2029-04-24,PERFORMING,0,2026-04-22T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000030,L000030,C07224,PL_RET,KES,298748.89,32712.36,0.2002,21,2023-01-04T00:00:00+00:00,2024-09-25,PERFORMING,0,2026-04-17T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000031,L000031,C09084,INV_SME,KES,1631689.49,271616.65,0.1536,52,2026-02-24T00:00:00+00:00,2030-06-03,PERFORMING,0,2026-04-21T00:00:00+00:00,2250682.35,MSA-010,{}
EV-LOAN-L000032,L000032,C06228,WC_SME,KES,3479667.75,508249.44,0.1704,36,2023-01-19T00:00:00+00:00,2026-01-03,PERFORMING,14,2026-04-23T00:00:00+00:00,3739623.83,NBO-003,{}
EV-LOAN-L000033,L000033,C02650,CORP_TL,KES,13482211.82,1508698.64,0.1477,44,2023-07-03T00:00:00+00:00,2027-02-12,PERFORMING,0,2026-04-25T00:00:00+00:00,17498638.33,NBO-002,{}
EV-LOAN-L000034,L000034,C07105,PL_RET,KES,255009.15,138585.45,0.2287,13,2023-07-06T00:00:00+00:00,2024-07-30,PERFORMING,3,2026-04-23T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000035,L000035,C07536,AUTO_RET,KES,1967859.89,834661.28,0.1686,43,2025-01-17T00:00:00+00:00,2028-07-30,PERFORMING,0,2026-04-09T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000036,L000036,C09944,WC_SME,KES,1952495.30,1495489.77,0.1903,30,2024-08-08T00:00:00+00:00,2027-01-25,SUBSTANDARD,119,2024-10-12T00:00:00+00:00,2497297.22,KSM-020,{}
EV-LOAN-L000037,L000037,C08149,PL_RET,KES,391929.88,176021.78,0.2309,16,2025-09-03T00:00:00+00:00,2026-12-27,WATCH,49,2026-04-03T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000038,L000038,C07882,CORP_TL,KES,16350018.15,10883126.28,0.1188,82,2024-09-02T00:00:00+00:00,2031-05-29,PERFORMING,0,2026-04-19T00:00:00+00:00,11476577.03,NBO-003,{}
EV-LOAN-L000039,L000039,C06399,CORP_TL,KES,7720678.91,4840683.78,0.1227,58,2024-12-14T00:00:00+00:00,2029-09-19,PERFORMING,0,2026-04-12T00:00:00+00:00,6718203.79,NBO-003,{}
EV-LOAN-L000040,L000040,C06319,PL_RET,KES,396529.88,352029.33,0.2265,32,2023-03-05T00:00:00+00:00,2025-10-20,SUBSTANDARD,124,2023-05-05T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000041,L000041,C02569,AUTO_RET,KES,609337.54,365188.84,0.1614,30,2025-02-22T00:00:00+00:00,2027-08-11,PERFORMING,0,2026-04-13T00:00:00+00:00,,NKR-040,{}
EV-LOAN-L000042,L000042,C02639,PL_RET,KES,99634.88,18531.56,0.2096,13,2026-10-13T00:00:00+00:00,2027-11-07,PERFORMING,0,2026-04-08T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000043,L000043,C04788,AUTO_RET,KES,1109232.66,749972.55,0.1529,28,2025-06-14T00:00:00+00:00,2027-10-02,WATCH,31,2026-04-05T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000044,L000044,C05180,CORP_TL,KES,18929723.07,8791101.29,0.1243,31,2024-09-20T00:00:00+00:00,2027-04-08,PERFORMING,0,2026-04-09T00:00:00+00:00,16124960.15,NKR-040,{}
