customer_id,month,defaulted_within_60d,FIN-001,FIN-002,FIN-003,FIN-004,FIN-005,FIN-006,FIN-007,FIN-008,BEH-001,BEH-002,BEH-003,BEH-004,BEH-005,BEH-006,BEH-007,BEH-008,TXN-001,TXN-002,TXN-003,TXN-004,TXN-005,TXN-006,TXN-007,TXN-008,CRD-001,CRD-002,CRD-003,CRD-004,CRD-005,CRD-006,CRD-007,CRD-008
CUST-00001,0,0,-0.057,0,0.878,0,1.1846,0,0.9229,0.0838,0,1,0.0307,-0.0474,0,190,0,0,0.9979,0.9698,0.3343,0.2239,0,0.3762,0.9092,-0.0231,4,0,0,0.1867,0,5,1.8494,0
CUST-00001,1,0,0.1526,2,0.2878,0.1164,0.6823,0,2.7267,0.4729,0,0,0.3069,0.084,0,240,0,1,1.0946,-1.2786,0.2533,-0.0691,1,0.2768,0.4809,-0.1066,8,0,0,0.1021,0,6,1.5779,0
CUST-00001,2,0,-0.1763,3,0.6936,0.1816,1.3459,1,1.7088,0.0921,0.561,0,0,-0.1961,1,84,0,0,1.0951,-0.872,0.202,0.0713,0,0.1,0.2,-0.1681,-19,0,7,-0.2894,0,22,1.6061,0
CUST-00001,3,0,0.0726,3,0.6796,0.2236,1.4096,0,0.2155,0.4114,2.2418,1,0.2007,-0.2041,0,153,0,2,0.5475,0.3862,0.1616,0.1452,0,0.2793,1.9638,0.1102,-7,1,0,0.1061,0,10,1.678,1
CUST-00001,4,0,0.123,6,0.6525,0.2775,1.6683,0,2.4597,0.4,2.2651,2,0.1864,0.1898,0,255,0,0,1.08,-0.3377,0.4068,-0.0267,0,0.4187,1.1366,0.0084,-3,0,3,0.2474,0,0,1.31,0
CUST-00001,5,0,-0.0673,0,0.388,0.1954,1.2608,0,0.2724,0.3544,1.3414,2,0.0227,0.2444,0,84,0,0,0.6856,-0.3732,0.0811,0.3704,0,0.1273,1.1698,-0.089,-29,1,5,-0.1271,0,0,1.3644,0
CUST-00001,6,0,0.1785,4,0.473,0.2279,0.7314,0,0.9471,0.4041,3.0064,0,0.2227,-0.2228,2,222,1,2,0.8687,-1.2623,0.2615,0.2095,1,0.3112,1.4469,0.0471,-23,0,12,0.2287,0,0,1.1113,0
CUST-00001,7,0,-0.1688,3,0.3267,0.2955,1.1323,0,2.0349,0.2674,4.7196,1,0.0465,0.1111,0,153,0,0,1.0164,0.4465,0.2038,-0.2799,1,0.3257,0.5831,-0.0892,-16,0,0,0.3201,0,0,1.097,0
CUST-00001,8,0,-0.0854,0,0.7819,0.1687,0.9849,1,1.9438,0.3328,1.344,0,0.2839,0.0106,0,133,0,0,0.9293,-0.9284,0.2023,-0.0733,1,0.3411,0.3499,-0.1163,-20,1,11,0.3057,0,0,1.7347,0
CUST-00001,9,0,0.0991,3,0.7632,0.2305,1.3071,1,0.8653,0.2215,3.8173,0,0.0645,-0.173,0,223,0,1,0.7131,0.0787,0.1946,-0.1619,2,0.4519,0.7105,-0.2105,-9,0,0,0.0921,0,0,0.6765,0
CUST-00001,10,0,-0.0913,3,0.2608,0.1106,0.8197,1,1.4697,0.0191,4.1282,0,0,-0.237,0,179,0,0,0.8531,-0.108,0.2415,-0.0697,0,0.3582,1.4096,0.145,14,0,0,-0.0692,0,0,1.2528,0
CUST-00001,11,0,0.1703,0,0.9909,0.3332,1.685,0,2.3473,0.1542,0,1,0.0725,-0.0158,1,90,0,0,0.6927,-1.3095,0.1119,-0.4,0,0.4696,1.4489,0.1732,1,0,0,-0.1674,0,0,1.0454,0
CUST-00002,0,0,0.0687,4,0.4135,0.2371,1.2194,0,1.6227,0.1604,0.5177,0,0.0184,-0.0309,0,153,0,0,1.1089,-0.4087,0.3738,-0.1404,0,0.2951,1.2579,-0.0303,-14,0,0,0.3583,0,8,1.6981,0
CUST-00002,1,0,0.1093,1,0.5524,0.1868,1.3138,0,3.3981,0.2318,3.2198,1,0.0316,-0.1088,0,0,0,3,0.8234,-0.1558,0.0932,-0.1264,0,0.5904,2.0321,0.0319,3,0,0,0.1255,0,0,1.4265,0
